study_id,study_name,cancer_type_id,has_os,has_pfs,has_treatment,has_response,has_age,has_sex,has_stage,field_score,clinical_attribute_count
luad_cas_2020,"Lung Adenocarcinoma (CAS, Cell 2020)",luad,True,True,True,True,True,True,True,17,33
luad_tcga,"Lung Adenocarcinoma (TCGA, Firehose Legacy)",luad,True,True,True,True,True,True,True,17,106
nsclc_tracerx_2017,"Non-Small Cell Lung Cancer (TRACERx, NEJM & Nature 2017)",nsclc,True,True,True,True,True,True,True,17,34
lusc_tcga_gdc,"Lung Squamous Cell Carcinoma (TCGA GDC, 2025)",lusc,True,True,True,True,True,True,True,17,43
lusc_tcga_pan_can_atlas_2018,"Lung Squamous Cell Carcinoma (TCGA, PanCancer Atlas)",lusc,True,True,True,True,True,True,True,17,60
sclc_ucologne_2015,"Small Cell Lung Cancer (U Cologne, Nature 2015)",sclc,True,True,True,True,True,True,True,17,28
lusc_tcga,"Lung Squamous Cell Carcinoma (TCGA, Firehose Legacy)",lusc,True,True,True,True,True,True,True,17,106
luad_tcga_pan_can_atlas_2018,"Lung Adenocarcinoma (TCGA, PanCancer Atlas)",luad,True,True,True,True,True,True,True,17,60
luad_tcga_pub,"Lung Adenocarcinoma (TCGA, Nature 2014)",luad,True,True,True,True,True,True,True,17,25
luad_tcga_gdc,"Lung Adenocarcinoma (TCGA GDC, 2025)",luad,True,True,True,True,True,True,True,17,43
luad_mskimpact_2021,"Lung Adenocarcinoma (MSK, 2021)",luad,True,True,True,True,True,True,False,16,48
lung_msk_mind_2020,"Lung Adenocarcinoma (MSK Mind,Nature Cancer 2022)",lung,True,True,True,True,True,True,False,16,75
mixed_allen_2018,"MSS Mixed Solid Tumors (Broad/Dana-Farber, Nat Genet 2018)",mixed,True,True,True,True,True,True,False,16,27
bm_nsclc_mskcc_2023,"Non-Small Cell Lung Cancer Brain Metastasis (MSK, Nat Commun 2023)",nsclc,True,True,True,True,False,True,False,15,34
nsclc_ctdx_msk_2022,"Metastatic Non-Small Cell Lung Cancer (MSK, Nature Medicine 2022)",nsclc,True,False,True,True,True,True,True,14,32
lung_smc_2016,"Lung Cancer (SMC, Cancer Research 2016)",lung,False,True,True,True,True,True,True,14,14
lung_msk_2017,"Non-Small Cell Cancer (MSK, Cancer Discov 2017)",luad,True,False,True,True,True,True,True,14,31
nsclc_tcga_broad_2016,"Pan-Lung Cancer (TCGA, Nat Genet 2016)",nsclc,True,False,True,True,True,True,True,14,23
luad_mskcc_2023_met_organotropism,"Lung Adenocarcinoma Met Organotropism (MSK, Cancer Cell 2023)",luad,True,False,True,True,True,True,True,14,91
asclc_msk_2024,"Atypical Small Cell Lung Cancer (MSK, Cancer Discov 2024)",lung,True,False,True,True,True,True,True,14,34
luad_oncosg_2020,"Lung Adenocarcinoma (OncoSG, Nat Genet 2020)",luad,True,False,True,True,True,True,True,14,37
nsclc_pd1_msk_2018,"Non-Small Cell Lung Cancer (MSK, J Clin Oncol 2018)",nsclc,False,True,True,True,True,True,False,13,21
nsclc_mskcc_2015,"Non-Small Cell Lung Cancer (MSK, Science 2015)",nsclc,False,True,True,True,True,True,False,13,30
luad_mskcc_2015,"Lung Adenocarcinoma (MSK, Science 2015)",luad,False,True,True,True,True,True,False,13,26
luad_mskcc_2020,"Lung Adenocarcinoma (MSK, J Thorac Oncol 2020)",luad,True,True,False,True,True,True,True,13,26
lusc_tcga_pub,"Lung Squamous Cell Carcinoma (TCGA, Nature 2012)",lusc,False,False,True,True,True,True,True,11,19
alk_msk_2026,"Non-Small Cell Lung Cancer (MSK, 2026)",nsclc,True,False,False,True,True,True,True,10,28
lung_msk_pdx,"Thoracic PDX (MSK, Provisional)",lung,True,False,False,True,True,True,True,10,40
lung_pdx_msk_2021,"Thoracic Cancer (MSK, Nat Commun 2021)",lung,True,False,False,True,True,True,True,10,39
sclc_cancercell_gardner_2017,"Small-Cell Lung Cancer (Multi-Institute, Cancer Cell 2017)",sclc,True,False,False,True,True,True,True,10,21
luad_broad,"Lung Adenocarcinoma (Broad, Cell 2012)",luad,False,True,False,True,True,True,True,10,18
lung_nci_2022,"Lung Cancer in Never Smokers (NCI, Nature Genetics 2021)",luad,True,False,False,True,True,True,True,10,24
nsclc_mskcc_2018,"Non-Small Cell Lung Cancer (MSK, Cancer Cell 2018)",nsclc,False,True,False,True,True,True,False,9,25
luad_cptac_gdc,"Lung Adenocarcinoma (CPTAC GDC, 2025)",luad,True,False,False,True,True,True,False,9,23
msk_met_2021,"MSK MetTropism (MSK, Cell 2021)",mixed,True,False,False,True,True,True,False,9,52
lusc_cptac_gdc,"Lung Squamous Cell Carcinoma (CPTAC GDC, 2025)",lusc,True,False,False,True,True,True,False,9,23
luad_cptac_2020,"Lung Adenocarcinoma (CPTAC, Cell 2020)",luad,False,False,False,True,True,True,True,7,70
luad_msk_npjpo_2021,"Lung Adenocarcinoma (MSK, NPJ Precision Oncology 2021)",luad,False,False,False,True,True,True,True,7,18
lusc_cptac_2021,"Lung Squamous Cell Carcinoma (CPTAC, Cell 2021)",lusc,False,False,False,True,True,True,True,7,48
sclc_jhu,"Small Cell Lung Cancer (Johns Hopkins, Nat Genet 2012)",sclc,False,False,False,True,False,False,False,4,13
sclc_clcgp,"Small Cell Lung Cancer (CLCGP, Nat Genet 2012)",sclc,False,False,False,False,True,True,False,2,9
luad_tsp,"Lung Adenocarcinoma (TSP, Nature 2008)",luad,False,False,False,False,False,False,False,0,7
nsclc_unito_2016,"Non-Small Cell Lung Cancer (University of Turin, Lung Cancer 2017)",nsclc,False,False,False,False,False,False,False,0,5
